l.no,Course Code,Course Title,Course Type,Version,L,T,P,J,Credits
70,BCSE417P,Machine Vision Lab,Lab Only,1.0,0,0,2,0,1.0
71,BCSE418L,Explainable Artificial Intelligence,Theory Only,1.0,2,0,0,0,2.0
72,BCSE419L,Speech and Language Processing,Theory Only,1.0,3,0,0,0,3.0
73,BCSE419P,Speech and Language Processing lab,Lab Only,1.0,0,0,2,0,1.0
74,BCSE431L,Fundamentals of Quantum Computing,Theory Only,1.0,3,0,0,0,3.0
75,BCSE432E,Reinforcement Learning,Embedded Theory and Lab,1.0,3,0,2,0,4.0
76,BECM302E,Augmented and Virtual Reality,Embedded Theory and Lab,1.0,3,0,2,0,4.0
77,BEEE303L,Control Systems,Theory Only,1.0,3,0,0,0,3.0
78,BEEE303P,Control Systems Lab,Lab Only,1.0,0,0,2,0,1.0
1,BCSE353E,Information Security Analysis and Audit,Embedded Theory and Lab,1.0,1,0,2,0,2.0
2,BCSE354E,Information Security Management,Embedded Theory and Lab,1.0,1,0,2,0,2.0
3,BHUM111L,Happiness and Well-being,Theory Only,1.0,3,0,0,0,3.0
4,BHUM201L,Mass Communication,Theory Only,1.0,3,0,0,0,3.0
5,BHUM202L,Rural Development,Theory Only,1.0,3,0,0,0,3.0
6,BHUM203L,Introduction to Psychology,Theory Only,1.0,3,0,0,0,3.0
7,BHUM204L,Industrial Psychology,Theory Only,1.0,3,0,0,0,3.0
8,BHUM205L,Development Economics,Theory Only,1.0,3,0,0,0,3.0
9,BHUM206L,International Economics,Theory Only,1.0,3,0,0,0,3.0
10,BHUM207L,Engineering Economics,Theory Only,1.0,3,0,0,0,3.0
11,BHUM208L,Economics of Strategy,Theory Only,1.0,3,0,0,0,3.0
12,BHUM209L,Game Theory,Theory Only,1.0,3,0,0,0,3.0
13,BHUM210E,Econometrics,Embedded Theory and Lab,1.0,2,0,2,0,3.0
14,BHUM211L,Behavioral Economics,Theory Only,1.0,3,0,0,0,3.0
15,BHUM212L,Mathematics for Economic Analysis,Theory Only,1.0,3,0,0,0,3.0
16,BHUM213L,Corporate Social Responsibility,Theory Only,1.0,3,0,0,0,3.0
17,BHUM214L,Political Science,Theory Only,1.0,3,0,0,0,3.0
18,BHUM215L,International Relations,Theory Only,1.0,3,0,0,0,3.0
19,BHUM216L,Indian Culture and Heritage,Theory Only,1.0,3,0,0,0,3.0
20,BHUM217L,Contemporary India,Theory Only,1.0,3,0,0,0,3.0
21,BHUM218L,Financial Management,Theory Only,1.0,3,0,0,0,3.0
22,BHUM219L,Principles of Accounting,Theory Only,1.0,3,0,0,0,3.0
23,BHUM220L,Financial Markets and Institutions,Theory Only,1.0,3,0,0,0,3.0
24,BHUM221L,Economics of Money, Banking and Financial Markets,Theory Only,1.0,3,0,0,0,3.0
25,BHUM222L,Security Analysis and Portfolio Management,Theory Only,1.0,3,0,0,0,3.0
26,BHUM223L,Options, Futures and other Derivatives,Theory Only,1.0,3,0,0,0,3.0
27,BHUM224L,Fixed Income Securities,Theory Only,1.0,3,0,0,0,3.0
28,BHUM225L,Personal Finance,Theory Only,1.0,3,0,0,0,3.0
29,BHUM226L,Corporate Finance,Theory Only,1.0,3,0,0,0,3.0
30,BHUM227L,Financial Statement Analysis,Theory Only,1.0,3,0,0,0,3.0
31,BHUM228L,Cost and Management Accounting,Theory Only,1.0,3,0,0,0,3.0
32,BHUM229L,Mind, Embodiment and Technology,Theory Only,1.0,3,0,0,0,3.0
33,BHUM230L,Health Humanities in Biotechnological Era,Theory Only,1.0,3,0,0,0,3.0
34,BHUM231L,Reproductive Choices for a Sustainable Society,Theory Only,1.0,3,0,0,0,3.0
35,BHUM232L,Introduction to Sustainable Aging,Theory Only,1.0,3,0,0,0,3.0
36,BHUM233L,Environmental Psychology,Theory Only,1.0,3,0,0,0,3.0
37,BHUM234L,Indian Psychology,Theory Only,1.0,3,0,0,0,3.0
38,BHUM235E,Psychology of Wellness,Embedded Theory and Lab,1.0,2,0,2,0,3.0
39,BMGT108L,Entrepreneurship,Theory Only,1.0,3,0,0,0,3.0
40,BSTS301P,Advanced Competitive Coding - I,Soft Skill,1.0,0,0,3,0,1.5
41,BSTS302P,Advanced Competitive Coding - II,Soft Skill,1.0,0,0,3,0,1.5
1,BENG101N,Effective English Communication,Lab Only,1.0,0,0,4,0,2.0
3,BEXC100N,"Extracurricular Activities / Co-Curricular Activities - B.Tech. Programmes",Basket,1.0,0,0,0,0,2.0
